Name,URL,Image_URL
Anytooth Dental Clinic,https://hdmall.co.th/anytooth-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2394/original/Anytooth_Dental_Clinic.jpg
Aquila Clinic,https://hdmall.co.th/aquila-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2099/original/Aquila_Clinic_logo.jpg
Asia Clinic (เอเซียคลินิก),https://hdmall.co.th/asia-clinic-(%E0%B9%80%E0%B8%AD%E0%B9%80%E0%B8%8B%E0%B8%B5%E0%B8%A2%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81),https://static.hdmall.co.th/184x184/webp/system/brands/logo/2371/original/asia-clinic-blue.jpg
Asoke Montri Dental Clinic (อโศกมนตรีเด็นทัลคลินิก),https://hdmall.co.th/asoke-montri-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/782/original/asoke-montri-dental-clinic.png
Atitha Clinic,https://hdmall.co.th/atitha-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1416/original/atitha-clinic_%281%29.jpg
Atom Clinic,https://hdmall.co.th/atom-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1105/original/atom-clinic.png
Avanti Wellness,https://hdmall.co.th/avanti-wellness,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2418/original/Avanti_Wellness.jpg
Avatreat Clinic,https://hdmall.co.th/avatreat-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1491/original/avatreat-clinic.jpg
BANDARA SPA,https://hdmall.co.th/bandara-spa,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2081/original/BANDARA_SPA.jpg
BDL Clinic,https://hdmall.co.th/bdl-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2050/original/bdl-clinic.jpg
BDS Clinic,https://hdmall.co.th/bds-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2270/original/messageImage_1699947842512.jpeg
BEQ HAIR CENTER,https://hdmall.co.th/beq-hair-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2348/original/BEQ_HAIR_CENTER.jpeg
BHI Clinic,https://hdmall.co.th/bhi-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2167/original/BHI_Clinic_logo.jpg
BIDC Dental Center (BIDC),https://hdmall.co.th/%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1-bidc,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1321/original/15056499_1298119813540856_6887516187787184882_n.jpeg
